Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.339321868,-0.320538371801376,-9.62744903564453,8.92883205413818,13.1344798767494
0.349321668,-0.325271815061569,-9.63694095611572,9.04862594604492,13.223239552272
0.359321668,-0.329444736242294,-9.64427375793457,9.15721988677979,13.3032036069158
0.369321668,-0.333121657371521,-9.64985466003418,9.25544834136963,13.3751257563492
0.379321668,-0.336616218090057,-9.65404891967773,9.34428787231445,13.4398544211794
0.389321668,-0.3398118019104,-9.65715980529785,9.42477416992188,13.4982434308989
0.399321668,-0.342735588550568,-9.65939998626709,9.49757862091065,13.5508477756462
0.409321668,-0.345242023468018,-9.6609525680542,9.56333351135254,13.5981816588219
0.419321668,0.0140504445880651,0.0132989883422852,-0.56957745552063,0.569905918482521
0.429321668,0.00965279527008534,0.0294408798217773,-0.515568196773529,0.516498313051955
0.439321901,0.0223956629633904,0.0315237045288086,-0.457054048776627,0.458686944625522
0.449321901,0.0160872116684914,0.0530099868774414,-0.405614376068115,0.409379871465537
0.459321901,0.0289931632578373,0.0315647125244141,-0.375222742557526,0.377662602232251
0.469321901,0.0297834370285273,0.0389957427978516,-0.324643462896347,0.328330776929182
0.479321901,0.0114364633336663,0.0417203903198242,-0.308871895074844,0.311886567888305
0.489321701,-0.00201192405074835,0.0349521636962891,-0.291291236877441,0.293387604146848
0.499321701,0.0161582306027412,0.0257978439331055,-0.261888593435288,0.263651763770549
0.509321701,0.0175052620470524,0.0526065826416016,-0.215892001986504,0.222897382798238
0.519321701,0.0164925772696733,0.031529426574707,-0.213057056069374,0.21600791417463
0.529321701,-0.0109118558466434,0.0295963287353516,-0.171650096774101,0.174524402291448
0.539321701,0.00750643014907837,0.0348358154296875,-0.168183892965317,0.171917719805735
0.549321934,0.00680588092654944,0.0448474884033203,-0.159230202436447,0.165565318225842
0.559322334,-0.0201242119073868,0.038090705871582,-0.127718061208725,0.134787940623798
0.569322334,0.0204974301159382,0.0480680465698242,-0.138490170240402,0.148020974850229
0.579322334,0.00342325260862708,0.0364789962768555,-0.102400660514832,0.108758131197916
0.589322334,0.0149804186075926,0.048797607421875,-0.0964455306529999,0.109120849587496
0.5993221,0.00726560689508915,0.0515146255493164,-0.0891898572444916,0.103253940962721
0.6093221,0.00442775338888168,0.0159063339233398,-0.0901052057743073,0.0916054832779337
0.6193221,0.0111883338540792,0.0568943023681641,-0.0749672651290894,0.0947746342505504
0.6293221,-0.0133729837834835,0.028416633605957,-0.0701555013656616,0.076864400945014
0.6393221,0.0127589432522655,0.0262594223022461,-0.0563327074050903,0.063448576155417
0.6493221,0.0172987803816795,0.0360631942749023,-0.060125082731247,0.0722137615516753
0.6593221,0.0142773855477571,0.0458316802978516,-0.0237461924552917,0.0535562163817379
0.6693221,0.00878638681024313,0.0364160537719727,-0.0528828501701355,0.0648068314888131
0.6793221,0.0105035658925772,0.0365943908691406,-0.0464121997356415,0.0600297145074357
0.689322333,0.00984963215887547,0.0535106658935547,-0.0425286293029785,0.0690586050280988
0.699322099,-0.00276288879103959,0.0440711975097656,-0.0293488502502441,0.0530213071833172
0.709322099,-0.00801569502800703,0.0154619216918945,-0.0238379836082459,0.0295223957648307
0.719322099,-0.0154604576528072,0.0442943572998047,-0.0332148671150208,0.0574825472374485
0.729322099,-0.00342018366791308,0.0204601287841797,0.00750234723091126,0.0220590058742601
0.739321865,-0.00571786612272263,0.0349044799804688,-0.0145820677280426,0.0382577235983735
0.749321865,-0.000652691815048456,0.0325555801391602,-0.041831910610199,0.0530113247344602
0.759321865,0.00190378772094846,0.0326375961303711,-0.0160433948040009,0.0364174080034904
0.769321865,0.00185315357521176,0.035090446472168,-0.0192629098892212,0.0400728500257925
0.779321865,0.0067084114998579,0.0207901000976563,-0.0202606916427612,0.0297947423678247
0.789321865,-0.000568593619391322,0.0280361175537109,-0.011740118265152,0.0304002888648984
